complete?	site name	ownership	phone number	url	latitude	longitude	restrooms	trails	picnic	camping	visitor center	cross-country skiing	boat ramp	restaurant	lodging	drinking water	fishing	hunting	entry fee	bicycling	bats	beavers	butterflies	elk	fish	frogs	loons	migration hotspot	otters	raptors	reptiles	sandhill cranes	shorebirds	songbirds	turkeys	waterbirds	waterfowl	wolves	barrier free
Y	Independence Oaks County Park	Oakland County Parks and Recreation Commission	248-625-0877	http://www.destinationoakland.com/parksandtrails/parks/independenceoaks/Pages/default.aspx	42.771444	-83.382376	X	X	X		X	X	X			X	X		X												X			X					X
Y	Indian Springs Metropark	Huron-Clinton Metroparks	248-625-6640	http://www.metroparks.com/Indian-Springs-Metropark	42.693432	-83.511718	X	X	X		X	X				X			X	X																X	X		X
Y	Kensington Metropark	Huron-Clinton Metroparks	810-227-8910	http://www.metroparks.com/Kensington-Metropark	42.550154	-83.634243	X	X	X		X	X	X			X	X		X	X														X		X			X
Y	Shiawassee National Wildlife Refuge	United States Fish and Wildlife Service	989-777-5930	http://www.fws.gov/refuge/shiawassee/	43.321932	-83.96782	X	X			X	X	X			X	X	X		X										X				X			X		
Y	Shiawassee River State Game Area	Michigan Department of Natural Resources	989-865-6211	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Shiawassee_River_SGA_map.pdf	43.299822	-84.14102	X	X				X	X			X	X	X		X																	X		
Y	Green Point Environmental Center	City of Saginaw	989-759-1669	http://www.saginaw-mi.com/departments/publicservices/parksandfacilities/	43.393382	-83.983342	X	X			X					X																		X			X		
Y	Chippewa Nature Center	"Chippewa Nature Center, Inc."	989-631-0830	http://chippewanaturecenter.org/	43.599355	-84.290677	X	X			X	X				X						X																	X
Y	Tobico Marsh	Michigan Department of Natural Resources	989-684-9141	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Tobico_Marsh_Unit_of_Bay_City_SRA_map.pdf	43.667636	-83.906656	X	X	X		X					X				X					X			X					X	X		X	X		X
Y	Fish Point State Wildlife Area	Michigan Department of Natural Resources	989-674-2511	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Fish_Point_SWA_map.pdf	43.689406	-83.526658	X	X					X				X	X										X								X	X		
Y	Huron County Nature Center	Huron County Nature Center Wilderness Arboretum	989-551-8400	http://www.huronnaturecenter.org/	43.993361	-83.120024		X																							X			X					
Y	Port Crescent State Park	Michigan Department of Natural Resources	989-738-8663	http://www.michigandnr.com/parksandtrails/details.aspx?id=486&type=SPRK	43.994799	-83.08032	X	X	X	X		X				X	X	X	X								X	X		X				X					X
Y	Saugatuck Dunes State Park	Michigan Department of Natural Resources	269-637-2788	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=491	42.699425	-86.194546		X	X			X							X																				
Y	Nayanquing Point State Wildlife Area	Michigan Department of Natural Resources	989-697-5101	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Nayanquing_Point_SWA_map.pdf	43.775064	-83.93761		X										X															X	X		X	X		
Y	Warren Dunes State Park	Michigan Department of Natural Resources	269-426-4013	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=504	41.901759	-86.595491	X	X	X	X		X		X				X	X														X	X		X	X		
	Battle Creek Linear Park	City of Battle Creek	269-966-3431	http://www.bcparks.org/134/Linear-Park	42.320378	-85.180351																																	
	Bernard Baker Sanctuary	Michigan Audubon Society	517-580-7364	http://www.michiganaudubon.org/our-conservation-impact/bird-sanctuaries/	42.379735	-85.005347																																	
	Edward Keehne Environmental Area	Eaton County/City of Bellevue	517-627-7351	http://www.eatoncounty.org/departments/parks-department/county-parks/120-departments/parks-department/326-keehne-environmental-area	42.440941	-85.029122																																	
	Grand Blanc Community Commons	City of Grand Blanc	810-694-1118	http://www.cityofgrandblanc.com/Departments/Administration/MainOffice/CityParks/tabid/6405/Default.aspx	42.924941	-83.621896																																	
	Somerset State Game Area	Michigan Department of Natural Resources	517-522-4097	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Somerset_SGA_map.pdf	42.027684	-84.3917																																	
	Rush Lake State Game Area	Michigan Department of Natural Resources	989-872-5300	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Rush_Lake_SGA_map.pdf	43.960086	-83.165091																																	
	Wildfowl Bay State Wildlife Area	Michigan Department of Natural Resources	989-872-5300	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Wildfowl_Bay_SWA_map.pdf	43.828099	-83.391457																																	
	Fenner Nature Center	City of Lansing	517-483-4224	http://www.mynaturecenter.org/	42.711851	-84.521622																																	
Y	Island Lake Recreation Area	Michigan Department of Natural Resources	810-229-7067	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=462	42.516882	-83.690289		X	X	X							X	X	X	X																			X
	Stony Creek Metropark	Huron-Clinton Metroparks	586-781-4242	http://www.metroparks.com/stony-creek-metropark	42.714087	-83.072642																																	
Y	Sterling State Park	Michigan Department of Natural Resources	734-289-2715	http://www.michigandnr.com/parksandtrails/details.aspx?id=497&type=SPRK	41.92424	-83.344612	X	X	X	X		X	X				X		X	X										X			X	X			X		
	White River Trail				43.412405	-86.350602																																	
	Gunnar Mettala Park	City of Wixom	248-624-4557	http://wixomgov.org/index.aspx?nid=1001	42.534622	-83.521804																																	
Y	Highland Recreation Area	Michigan Department of Natural Resources	248-889-3750	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=455	42.648838	-83.544799		X	X	X		X	X				X	X	X	X																			
Y	Holly Recreation Area	Michigan Department of Natural Resources	248-634-8811	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=459	42.816106	-83.543218		X	X	X		X	X				X	X	X	X																			
	Window on the Waterfront	City of Holland	616-928-2450	http://www.cityofholland.com/parksandcemeteries/riverview-park-window-waterfront	42.793984	-86.100783																																	
	Van Raalte Farm	City of Holland	616-928-2450	http://www.cityofholland.com/parksandcemeteries/van-raalte-farm	42.782982	-86.06221																																	
	East Grand River Park	City of Grand Haven	616-842-3210	http://www.grandhaven.org/visitors/parks/east-grand-river-park/	43.060776	-86.203312																																	
	St. Clair Flats State Wildlife Area	Michigan Department of Natural Resources	810-748-9504	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/St_Clair_Flats_SWA_map.pdf	42.590873	-82.625133																																	
	St. John's Marsh Wildlife Area	Michigan Department of Natural Resources	810-748-9504	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/St_Johns_Marsh_SWA_map.pdf	42.66252	-82.592043																																	
	Wilderness Park	City of Saline	734-429-3502	http://www.cityofsaline.org/?module=Page&sID=parks--recreation--outdoor-parks--wilderness-park	42.159066	-83.775436																																	
	Furstenberg Nature Area	City of Ann Arbor	734-794-6627	http://www.a2gov.org/departments/parks-recreation/parks-places/Pages/Furstenberg.aspx	42.28063	-83.706479																																	
	Hudson Mills Metropark	Huron-Clinton Metroparks	734-426-8211	http://www.metroparks.com/hudson-mills-metropark	42.386309	-83.908719																																	
	Dolph Park	City of Ann Arbor	734-794-6230	http://www.a2gov.org/departments/parks-recreation/parks-places/Pages/Dolph.aspx	42.278636	-83.799311																																	
Y	Pinckney Recreation Area	Michigan Department of Natural Resources	734-426-4913	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=484	42.411776	-83.964882	X	X	X	X		X	X				X	X	X	X																			
	Matthaei Botanical Gardens	University of Michigan	734-647-7600	http://www.lsa.umich.edu/mbg/	42.299309	-83.663372																																	
	Downtown Detroit																																						
Y	Albert E. Sleeper State Park	Michigan Department of Natural Resources	989-856-4411	http://www.michigandnr.com/parksandtrails/details.aspx?id=494&type=SPRK	43.980563	-83.210338	X	X	X	X		X						X	X	X								X		X									
	Au Gres Delta Nature Preserve	Saginaw Basin Land Conservancy	989-891-9986	http://www.sblc-mi.org/au-gres-delta-nature-preserve.html																																			
Y	Bay City State Recreation Area	Michigan Department of Natural Resources	989-684-3020	http://www.michigandnr.com/parksandtrails/Details.aspx?type=SPRK&id=437	43.66731	-83.907686	X	X	X	X	X	X					X	X	X	X													X	X		X			
Y	Discovery Preserve at Euclid Park	Saginaw Basin Land Conservancy/Bay County	989-684-3020	http://www.sblc-mi.org/discovery-preserve.html	43.583859	-83.915671	X	X																										X		X	X		
Y	Edward M. Golson Boat Launch and Nature Area	City of Bay City	989-894-8314	http://www.baycitymi.org/departments/parks/parks/item/277-edward-m-golson-boat-launch-and-nature-area	43.609039	-83.873217	X	X																						X				X		X			
Y	Hampton Township Nature Trail	Hampton Township	989-893-7541	http://hamptontownship.org/ParksandRec.aspx	43.634178	-83.816407		X																				X						X					
Y	Middlegrounds Island/Bigelow Park	City of Bay City	989-894-8314	http://www.baycitymi.org/departments/parks/parks/item/270-bigelow-park	43.582243	-83.901134																								X							X		
Y	Pinconning Nature Preserve	Saginaw Basin Land Conservancy	989-891-9986	http://www.sblc-mi.org/pinconning-nature-preserve.html	43.853069	-83.931724		X																							X			X			X		
	Pressprich Nature Preserve	Saginaw Basin Land Conservancy	989-891-9986	http://www.sblc-mi.org/pressprich-nature-preserve.html				X																				X						X					
Y	Saganing Nature Preserve	Saginaw Basin Land Conservancy	989-891-9986	http://www.sblc-mi.org/saganing-nature-preserve.html	43.925004	-83.904727		X																															
Y	Sand Point Nature Preserve	Saginaw Basin Land Conservancy	989-891-9986	http://www.sblc-mi.org/sand-point-nature-preserve.html	43.90755	-83.322039		X																						X		X		X		X	X		
Y	Standish Nature Preserve	Saginaw Basin Land Conservancy	989-891-9986	http://www.sblc-mi.org/standish-nature-preserve.html	43.937837	-83.890194		X																															
Y	Wah Sash Kah Moqua Nature Preserve	Saginaw Basin Land Conservancy	989-891-9986	http://www.sblc-mi.org/wah-sash-kah-moqua-nature-preserve.html	43.910465	-83.919108		X																						X				X		X			
Y	Belle Isle	"City of Detroit, managed by Michigan Department of Natural Resources"	844-235-5375	"http://www.michigan.gov/dnr/0,4570,7-153-10365_67024---,00.html"	42.340032	-82.996582	X	X	X								X											X									X		
Y	Crosswinds Marsh Wetlands Interpretive Preserve	Wayne County Division of Parks	734-654-1220	http://www.waynecounty.com/dps/1842.htm	42.096293	-83.440952		X	X			X					X											X		X			X	X			X		
Y	Detroit River International Wildlife Refuge & Humbug Marsh	United States Fish and Wildlife Service	734-365-0219	http://www.fws.gov/refuge/detroit_river/	42.116443	-83.19086		X									X			X																			
	East River Road																											X		X						X	X		
Y	Erie Marsh Preserve	The Nature Conservancy	517-316-0300	http://www.nature.org/ourinitiatives/regions/northamerica/unitedstates/michigan/placesweprotect/erie-marsh-preserve.xml	41.764163	-83.472516		X									X	X										X					X	X			X		
Y	Erie State Game Area	Michigan Department of Natural Resources	734-379-9692	http://www.michigandnr.com/publications/pdfs/huntingwildlifehabitat/sga/Erie_SGA_map.pdf	41.743741	-83.475605							X															X					X	X		X	X		
Y	Lower Huron Metropark	Huron-Clinton Metroparks	734-697-9181	http://www.metroparks.com/Lower%20Huron%20Metropark	42.194033	-83.428147	X	X	X	X		X					X			X																			
Y	William G. Milliken State Park & Harbor	Michigan Department of Natural Resources	313-396-0217	http://www.michigandnr.com/parksandtrails/details.aspx?id=697&type=SPRK	42.332973	-83.0272	X	X	X				X				X			X								X									X		
Y	University of Michigan-Dearborn Rouge River Bird Observatory/Environmental Interpretive Center	University of Michigan-Dearborn	313-583-6373	http://www.rrbo.org/	42.319558	-83.237518	X	X			X									X														X					
Y	Dingell Park	City of Ecorse	313-386-2520	http://www.ecorsemi.gov/community/parksfacilities.asp	42.241288	-83.144731	X	X	X											X								X		X				X		X	X		
Y	Luna Pier Jetty	City of Luna Pier	734-848-6495	http://www.cityoflunapier.com/Default.aspx?tabid=2514	41.809316	-83.441292	X							X														X					X				X		
Y	Oakwoods Metropark	Huron-Clinton Metroparks	734-782-3956	http://www.metroparks.com/Oakwoods-Metropark	42.11487	-83.3573	X	X	X		X						X			X										X				X					
Y	Willow Metropark	Huron-Clinton Metroparks	734-697-9181	http://www.metroparks.com/willow-metropark	42.117528	-83.368973		X	X					X			X			X																	X		
Y	New Buffalo Public Beach	City of New Buffalo	269-469-1522	http://www.cityofnewbuffalo.org/citybeach.asp	41.800847	-86.747012													X								X						X			X	X		
Y	Galien River County Park	Berrien County	269-983-7111	http://www.berriencounty.org/parks/?dept=1&pid=185	41.804688	-86.718105																												X					
	Union Pier Overlook				41.828237	-86.703874																					X	X								X	X		
	Lakeside Overlook				41.851836	-86.672199																					X									X	X		
Y	Forest Lawn Road Floodplain & Kesling Nature Preserve	Southwest Michigan Land Conservancy	269-324-1600	http://www.swmlc.org/content/kesling-nature-preserve	41.776812	-86.663619																								X				X					
	Three Oaks Treatment Ponds				41.802757	-86.62966																											X	X		X	X		
Y	Warren Woods State Park	Michigan Department of Natural Resources	269-426-4013	http://www.michigandnr.com/parksandtrails/details.aspx?id=505&type=SPRK	41.82804	-86.623423	X	X	X										X															X					
Y	Grand Mere State Park	Michigan Department of Natural Resources	269-426-4013	http://www.michigandnr.com/parksandtrails/details.aspx?id=450&type=SPRK	42.003867	-86.542552		X	X			X	X						X															X			X		
Y	Silver Beach County Park	Berrien County	269-983-7111	http://www.berriencounty.org/parks/?dept=1&pid=193	42.109541	-86.484275													X																				
Y	Tiscornia Park	City of St. Joseph	269-983-6325	http://www.sjcity.com/play-here/183-tiscornia-beach	42.114935	-86.48635													X														X			X			
Y	Jean Klock Park	City of Benton Harbor	269-927-8420	http://bentonharborcity.com/parks-recreation/	42.126055	-86.474272													X														X			X			
Y	Brown Sanctuary	Sarett Nature Center	269-927-4832	http://sarett.com/visit/brown-sanctuary/	42.1414	-86.416049																											X	X			X		
Y	Love Creek County Park & Nature Center	Berrien County	269-471-2617	http://www.berriencounty.org/parks/?dept=1&pid=186	41.950211	-86.295969					X								X															X					
Y	Mud Lake Bog Preserve	Buchanan Township	269-695-6442	http://www.buchanantownship.net/attractions.htm	41.827195	-86.435888																								X				X		X			
Y	Beaver Island Harbor Light	United States Coast Guard/Town of St. James			45.7428	-85.509233																											X	X		X			
	Gull Harbor Natural Area				45.746002	-85.49818																						X		X	X		X	X		X	X		
Y	George and Althea Petritz Preserve	Little Traverse Conservancy	231-347-0991	http://landtrust.org/wordpress/wp-content/uploads/2013/04/PreserveMap2013.pdf	45.751639	-85.504225																						X					X	X			X		
	Chimney Swift Tower																																	X					
	St. James Township Campground																													X				X					
	Indian Point				45.759278	-85.565554																												X					
	Font Lake public boat launch				45.746658	-85.547917																					X			X						X			
	Peaine Township Park																										X							X			X		
	Holy Cross Cemetery				45.727832	-85.52607																												X					
	East Side Drive				45.727964	-85.516014																												X					
Y	Luney's Point	Michigan Department of Natural Resources			45.721364	-85.515659																											X				X		
Y	Little Sand Bay Preserve	Little Traverse Conservancy			45.717538	-85.510757																												X					
	Paula Simpson Trail/Central Michigan University Biological Station Campground/Old Burke Farm				45.68518	-85.507714																												X					
	Bill Wagner Campground				45.655684	-85.496818																								X				X		X			
	Seven Bridges Trail				45.6557	-85.496946																						X						X			X		
	Johnny Martin's Trail				45.640633	-85.490532																												X					
	Martin's Bluff				45.628715	-85.489304																																	
Y	Erber Preserve	Little Traverse Conservancy			45.607316	-85.493673																												X		X			
	Cable's Creek Road																																	X					
	Lake Geneserath public boat launch				45.602594	-85.52256																					X			X				X			X		
	Beaver Head Lighthouse				45.576022	-85.57315																												X			X		
Y	Barney's Lake Preserve	Little Traverse Conservancy			45.712241	-85.556455																					X			X			X			X			
	Protar's Tomb/Kuebler Trail Head																																X	X			X		
	Bonner's Bluff Landing				45.703955	-85.578315																						X					X	X					
	Oliver's Point via Mrs. Redding's Trail																																	X					
	Greene's Lake				45.637367	-85.586241																					X					X		X		X			
	Tara's Meadow				45.622589	-85.595909																												X					
	Miller's Marsh				45.612191	-85.593802																																	
	Iron Ore Bay				45.579667	-85.584217																						X						X					
	Microwave tower on Sloptown Road				45.703278	-85.544517																								X				X					
	King's Highway Wetland				45.68457	-85.526991																										X	X	X		X			
	Black Hills Clearing				45.670089	-85.557851																												X					
	Fox Lake																													X				X		X			
	Camp #3 Clear-cut																																	X					
	Hannigan's Road				45.659531	-85.557706																												X					
Y	Tahquamenon Logging Museum	Tahquamenon Logging Museum	906-293-3700	http://tahquamenonloggingmuseum.org/	46.370299	-85.509851	X	X																								X		X			X		
	Skyline Drive				46.445998	-85.474087																												X					
	Camp 7 Road				46.560811	-85.357137																												X					
	Clark Lake/Tahquamenon Natural Area				46.609072	-85.215832		X																								X		X					
	Tahquamenon River Mouth				46.555129	-85.033673	X			X			X																	X				X					
	Hulbert Bog				46.318072	-85.184098																								X				X					
Y	Erickson Center for the Arts	Erickson Center For The Arts	906-586-9974	http://www.ericksoncenter.org/	46.20637	-85.749954	X	X					X														X							X		X			
	Tahquamenon River												X																					X					
	Kak's Lake						X						X															X		X				X					
Y	Natalie State Forest Campground	Michigan Department of Natural Resources	906-293-5131	http://www.michigandnr.com/parksandtrails/details.aspx?id=684&type=SFCG	46.350049	-85.581422	X	X		X			X				X		X	X										X			X	X			X		
	Hamilton Lake Nature Area							X																						X				X			X		
